frame_index,detection_index,x1,y1,x2,y2,cat_confidence,orange_prob,goblin_prob,pred_label,pred_confidence
729,0,639,631,872,758,0.743724,0.999999,0.000001,orange,0.999999
732,0,639,631,872,757,0.709531,0.999999,0.000001,orange,0.999999
735,0,638,631,872,758,0.675358,0.999997,0.000003,orange,0.999997
738,0,639,631,873,757,0.746866,1.000000,0.000000,orange,1.000000
741,0,638,631,873,758,0.716245,0.999998,0.000002,orange,0.999998
744,0,639,631,873,757,0.785028,1.000000,0.000000,orange,1.000000
747,0,639,631,873,757,0.735077,1.000000,0.000000,orange,1.000000
750,0,638,631,872,758,0.828002,0.999998,0.000002,orange,0.999998
753,0,638,631,872,758,0.828500,0.999998,0.000002,orange,0.999998
756,0,640,632,874,758,0.712175,0.999999,0.000001,orange,0.999999
759,0,639,632,874,759,0.724317,1.000000,0.000000,orange,1.000000
762,0,640,633,874,758,0.640422,0.999999,0.000001,orange,0.999999
765,0,640,633,874,757,0.665738,0.999999,0.000001,orange,0.999999
768,0,640,633,875,758,0.629782,1.000000,0.000000,orange,1.000000
771,0,639,633,875,758,0.579107,1.000000,0.000000,orange,1.000000
774,0,639,632,875,758,0.746636,1.000000,0.000000,orange,1.000000
777,0,639,632,875,758,0.765295,1.000000,0.000000,orange,1.000000
780,0,640,632,875,758,0.786215,0.999999,0.000001,orange,0.999999
783,0,639,632,875,758,0.794947,1.000000,0.000000,orange,1.000000
786,0,640,633,874,757,0.667112,1.000000,0.000000,orange,1.000000
789,0,640,633,875,757,0.713994,1.000000,0.000000,orange,1.000000
792,0,640,632,874,757,0.561832,0.999999,0.000001,orange,0.999999
795,0,640,633,874,757,0.615115,0.999999,0.000001,orange,0.999999
798,0,640,633,875,757,0.789987,1.000000,0.000000,orange,1.000000
801,0,640,633,875,757,0.804214,1.000000,0.000000,orange,1.000000
804,0,640,633,875,757,0.880938,1.000000,0.000000,orange,1.000000
807,0,639,633,875,757,0.880289,1.000000,0.000000,orange,1.000000
810,0,639,633,874,757,0.851525,1.000000,0.000000,orange,1.000000
813,0,639,633,874,757,0.848333,1.000000,0.000000,orange,1.000000
816,0,629,617,875,757,0.841808,0.999998,0.000002,orange,0.999998
816,1,1056,605,1618,1071,0.307443,1.000000,0.000000,orange,1.000000
819,0,629,617,875,757,0.824793,0.999998,0.000002,orange,0.999998
819,1,1056,604,1615,1072,0.299139,1.000000,0.000000,orange,1.000000
822,0,628,616,875,755,0.905956,1.000000,0.000000,orange,1.000000
825,0,628,616,875,755,0.903306,1.000000,0.000000,orange,1.000000
828,0,634,618,875,756,0.860621,1.000000,0.000000,orange,1.000000
831,0,634,618,875,756,0.864533,1.000000,0.000000,orange,1.000000
834,0,639,619,875,757,0.881302,1.000000,0.000000,orange,1.000000
837,0,639,619,875,757,0.886452,1.000000,0.000000,orange,1.000000
840,0,648,623,875,756,0.766239,1.000000,0.000000,orange,1.000000
843,0,648,623,875,756,0.787975,1.000000,0.000000,orange,1.000000
846,0,651,624,875,756,0.884218,1.000000,0.000000,orange,1.000000
849,0,651,624,875,756,0.872562,1.000000,0.000000,orange,1.000000
852,0,652,625,875,756,0.876837,0.999999,0.000001,orange,0.999999
855,0,652,625,875,756,0.866537,0.999999,0.000001,orange,0.999999
858,0,655,628,875,756,0.781605,0.999999,0.000001,orange,0.999999
861,0,655,628,875,756,0.776103,0.999998,0.000002,orange,0.999998
864,0,656,627,875,756,0.819590,0.999995,0.000005,orange,0.999995
867,0,656,627,875,756,0.817858,0.999995,0.000005,orange,0.999995
870,0,657,629,874,756,0.795550,0.999994,0.000006,orange,0.999994
873,0,658,629,874,756,0.781469,1.000000,0.000000,orange,1.000000
876,0,657,629,874,756,0.735894,0.999992,0.000008,orange,0.999992
879,0,658,629,874,756,0.642251,1.000000,0.000000,orange,1.000000
882,0,655,630,873,756,0.871577,0.999996,0.000004,orange,0.999996
885,0,655,630,873,756,0.869048,0.999996,0.000004,orange,0.999996
